frame_id,time_sec,track_id,class_name,confidence,x1,y1,x2,y2
0,0.00,1,car,0.917715,1337.09,963.82,1428.82,1059.31
0,0.00,2,car,0.915650,971.08,465.80,1031.74,526.17
0,0.00,3,car,0.902732,1199.49,597.99,1267.61,666.12
0,0.00,4,car,0.895055,1058.88,582.31,1126.82,651.00
0,0.00,5,car,0.865309,1461.69,1017.84,1558.11,1080.00
0,0.00,6,car,0.863536,912.39,287.57,958.65,327.39
0,0.00,7,car,0.814810,992.02,364.43,1043.06,410.47
0,0.00,8,car,0.798390,842.49,214.79,882.72,249.09
0,0.00,9,truck,0.766159,1415.88,546.06,1502.73,678.10
0,0.00,10,car,0.765941,1465.24,335.86,1525.49,375.97
0,0.00,11,car,0.557182,786.66,201.86,828.37,245.11
0,0.00,12,car,0.548909,1242.86,154.09,1297.37,190.16
0,0.00,13,car,0.364153,1102.33,165.82,1141.51,189.97
1,0.02,1,car,0.916445,1337.52,964.13,1429.10,1059.47
1,0.02,2,car,0.911136,971.65,466.81,1032.63,527.51
1,0.02,3,car,0.901010,1198.02,596.20,1266.29,664.49
1,0.02,4,car,0.898411,1059.84,583.41,1128.07,652.39
1,0.02,5,car,0.836656,1465.42,1021.06,1556.89,1080.00
1,0.02,6,car,0.875546,912.09,287.81,957.12,326.56
1,0.02,7,car,0.809745,991.47,363.56,1042.50,409.60
1,0.02,8,car,0.817827,840.86,212.74,882.10,247.93
1,0.02,9,truck,0.731306,1416.52,545.75,1503.03,677.26
1,0.02,10,car,0.812622,1465.09,335.89,1525.33,376.00
1,0.02,11,car,0.558654,786.69,201.88,828.38,245.11
1,0.02,12,car,0.550249,1242.78,154.14,1297.39,190.28
1,0.02,13,car,0.391620,1102.29,165.85,1141.51,190.01
2,0.04,1,car,0.921021,1337.86,964.42,1429.41,1059.74
2,0.04,2,car,0.907150,972.55,467.82,1033.68,528.71
2,0.04,3,car,0.891638,1196.62,594.54,1264.62,662.54
2,0.04,4,car,0.904035,1061.11,584.65,1129.22,653.50
2,0.04,5,car,0.623847,1467.70,1024.64,1553.64,1080.00
2,0.04,6,car,0.868522,912.23,287.86,956.15,325.63
2,0.04,7,car,0.803580,990.61,362.82,1041.44,408.67
2,0.04,8,car,0.810845,839.52,211.03,881.73,247.11
2,0.04,9,truck,0.747677,1417.50,544.99,1503.98,676.36
2,0.04,10,car,0.794794,1465.03,335.96,1525.21,376.03
2,0.04,11,car,0.548544,786.69,201.88,828.37,245.12
2,0.04,12,car,0.565664,1242.76,154.16,1297.33,190.27
2,0.04,13,car,0.398723,1102.00,165.87,1141.22,190.02
3,0.06,1,car,0.919758,1338.36,964.87,1429.90,1060.18
3,0.06,2,car,0.903888,973.58,469.01,1034.87,530.09
3,0.06,3,car,0.895724,1195.14,592.76,1263.01,660.60
3,0.06,4,car,0.928591,1062.02,585.85,1130.66,655.26
3,0.06,5,car,0.633836,1472.81,1028.78,1552.50,1080.00
3,0.06,6,car,0.852474,911.44,287.85,954.40,324.69
3,0.06,7,car,0.809331,989.93,361.76,1040.77,407.63
3,0.06,8,car,0.825033,838.47,209.83,880.67,246.01
3,0.06,9,truck,0.702614,1418.08,543.91,1504.54,675.17
3,0.06,10,car,0.796612,1464.98,336.02,1525.11,376.05
3,0.06,11,car,0.563492,786.68,201.89,828.37,245.12
3,0.06,12,car,0.561379,1242.76,154.19,1297.25,190.24
3,0.06,13,car,0.400403,1101.67,165.89,1140.94,190.05
4,0.08,1,car,0.918647,1338.86,965.51,1430.53,1060.95
4,0.08,2,car,0.905561,974.69,470.55,1035.50,531.18
4,0.08,3,car,0.890892,1193.45,590.75,1260.91,658.16
4,0.08,4,car,0.927614,1063.00,587.04,1132.02,656.83
4,0.08,5,car,0.864330,1478.72,1033.59,1551.38,1080.00
4,0.08,6,car,0.837909,910.44,286.74,953.96,323.99
4,0.08,7,car,0.847068,989.30,360.95,1039.71,406.42
4,0.08,8,car,0.773271,837.43,209.02,879.22,244.88
4,0.08,9,truck,0.714336,1419.03,543.28,1505.49,674.31
4,0.08,10,car,0.819391,1464.91,336.03,1525.07,376.07
4,0.08,11,car,0.555580,786.68,201.90,828.36,245.13
4,0.08,12,car,0.555141,1242.79,154.23,1297.11,190.16
4,0.08,13,car,0.376991,1101.37,165.89,1140.69,190.06
5,0.10,1,car,0.913160,1339.46,966.19,1431.16,1061.65
