track_id,raw_track_id,class_name,class_votes,start_time,end_time,duration_sec,frame_count,detection_count,mean_confidence,max_displacement_px,track_status,exclude_reason
mot_0209,209,car,"{""car"": 1364}",12.68,39.98,27.30,1364,1364,0.9142,139.74,target_review_candidate,
mot_0213,213,car,"{""car"": 1}",13.00,13.00,0.00,1,1,0.3189,0.00,excluded,single_sample_track
mot_0214,214,car,"{""car"": 2}",13.14,13.16,0.02,2,2,0.7012,0.50,excluded,too_short_for_target_review
mot_0219,219,car,"{""car"": 1}",13.64,13.64,0.00,1,1,0.3515,0.00,excluded,single_sample_track
mot_0221,221,car,"{""car"": 4}",13.72,13.78,0.06,4,4,0.3543,3.04,excluded,too_short_for_target_review
mot_0226,226,car,"{""car"": 36}",14.02,15.06,1.04,36,36,0.3309,0.66,target_review_candidate,
mot_0228,228,car,"{""car"": 10}",14.54,14.72,0.18,10,10,0.4615,11.09,excluded,too_short_for_target_review
mot_0231,231,car,"{""car"": 1262}",14.76,39.98,25.22,1262,1262,0.8841,258.79,target_review_candidate,
mot_0235,235,car,"{""car"": 1248}",14.96,39.98,25.02,1248,1248,0.9288,119.51,target_review_candidate,
mot_0249,249,car,"{""car"": 1}",16.04,16.04,0.00,1,1,0.4589,0.00,excluded,single_sample_track
mot_0252,252,car,"{""car"": 1}",16.16,16.16,0.00,1,1,0.4005,0.00,excluded,single_sample_track
mot_0255,255,car,"{""car"": 1}",16.28,16.28,0.00,1,1,0.3875,0.00,excluded,single_sample_track
mot_0266,266,car,"{""car"": 1}",16.60,16.60,0.00,1,1,0.3137,0.00,excluded,single_sample_track
mot_0276,276,car,"{""car"": 2}",17.04,17.14,0.10,2,2,0.3309,3.03,excluded,too_short_for_target_review
mot_0278,278,car,"{""car"": 63, ""truck"": 33}",17.06,18.98,1.92,96,96,0.3648,22.83,target_review_candidate,
mot_0283,283,car,"{""car"": 46}",17.34,19.20,1.86,46,46,0.3525,150.81,target_review_candidate,
mot_0312,312,car,"{""car"": 8}",19.10,19.24,0.14,8,8,0.4002,4.56,excluded,too_short_for_target_review
